"","DSI_04.txt","DSI_13.txt","DSI_19.txt","DSI_24.txt","DSI_40.txt"
"administr",1,2,3,3,3
"agreement",2,1,1,0,3
"american",1,2,1,3,2
"area",1,0,1,0,0
"benefit",1,1,0,1,1
"bigger",1,1,0,0,1
"busi",4,0,0,0,3
"care",1,0,0,0,10
"chief",1,1,0,0,1
"congress",1,0,0,0,2
"control",1,0,0,0,1
"corpor",1,0,0,0,1
"cost",3,0,0,2,1
"current",1,1,0,0,0
"deficit",2,0,0,0,1
"director",2,1,0,0,0
"dtrump",1,1,0,0,1
"effect",1,1,0,2,0
"elimin",1,0,0,0,1
"expert",1,0,0,0,1
"favor",1,0,1,0,0
"feder",2,0,0,4,0
"find",1,1,0,0,1
"general",1,0,0,0,1
"global",1,1,1,0,0
"head",2,2,0,0,1
"high",1,2,0,0,0
"higher",2,0,1,0,0
"hous",10,0,0,3,2
"interest",1,0,1,0,0
"invest",1,0,1,0,0
"lawmak",1,1,0,0,0
"long",1,0,1,2,0
"make",1,4,0,0,3
"million",1,0,1,0,0
"negoti",2,0,1,0,0
"obamacar",1,0,0,0,2
"pass",1,0,0,0,1
"plan",12,0,6,2,1
"polici",1,0,0,3,1
"project",1,0,0,0,1
"promis",1,0,0,1,0
"rate",9,0,0,0,1
"reform",4,0,0,0,4
"repeal",2,0,0,0,1
"republican",2,0,0,0,3
"senat",1,2,0,0,1
"singl",2,1,0,1,0
"small",1,0,0,0,3
"standard",1,0,0,1,0
"today",1,1,0,0,0
"trump",14,15,16,9,17
"white",1,0,0,3,1
"year",2,0,0,0,2
"agenc",0,6,1,3,0
"argu",0,1,0,1,0
"attack",0,2,0,1,0
"author",0,1,1,0,1
"back",0,1,0,4,0
"bipartisan",0,1,0,0,2
"build",0,1,0,0,2
"call",0,3,0,1,1
"cast",0,1,0,1,0
"combat",0,1,0,1,0
"cooper",0,1,0,1,0
"countri",0,5,0,0,1
"creat",0,1,0,0,1
"delay",0,1,0,1,0
"democrat",0,3,0,0,4
"differ",0,1,1,0,0
"elect",0,2,1,0,0
"emphas",0,1,0,1,0
"entir",0,1,0,1,0
"exclus",0,1,0,1,0
"experi",0,1,0,0,1
"face",0,1,0,0,3
"focus",0,1,2,0,0
"friday",0,1,0,0,2
"govern",0,1,0,0,2
"group",0,1,0,1,0
"identifi",0,1,0,1,0
"import",0,2,1,0,0
"increas",0,1,7,0,0
"issu",0,3,2,1,1
"made",0,1,0,1,2
"move",0,2,0,0,2
"nation",0,4,0,1,0
"north",0,1,1,0,0
"obama",0,5,4,5,0
"offici",0,7,0,1,2
"part",0,1,1,0,1
"parti",0,1,0,0,1
"peopl",0,2,0,0,3
"play",0,2,0,1,0
"polit",0,1,0,0,1
"presid",0,5,3,3,6
"presidenti",0,1,0,2,1
"process",0,2,0,1,0
"provid",0,1,1,1,1
"recent",0,1,1,0,0
"reduc",0,1,0,2,0
"report",0,1,0,1,0
"role",0,2,0,1,0
"secretari",0,1,1,1,0
"sens",0,1,0,0,1
"show",0,1,0,1,1
"sourc",0,1,1,0,0
"state",0,5,3,1,0
"suggest",0,2,0,0,2
"take",0,1,0,2,0
"thing",0,1,0,0,3
"time",0,2,0,1,4
"vice",0,1,0,1,0
"victori",0,1,1,0,0
"work",0,2,0,0,3
"action",0,0,1,4,0
"atlant",0,0,2,0,1
"carbon",0,0,1,2,0
"coal",0,0,4,4,0
"compani",0,0,3,2,0
"econom",0,0,2,2,0
"economi",0,0,1,1,0
"energi",0,0,11,9,0
"environ",0,0,1,2,0
"environment",0,0,2,4,0
"execut",0,0,1,5,0
"fossil",0,0,4,1,0
"frack",0,0,2,1,0
"fuel",0,0,4,1,0
"futur",0,0,1,5,1
"growth",0,0,1,1,0
"gulf",0,0,1,0,1
"industri",0,0,4,2,0
"land",0,0,1,1,0
"limit",0,0,1,2,0
"month",0,0,1,0,2
"opposit",0,0,1,0,1
"power",0,0,1,5,0
"press",0,0,1,1,0
"product",0,0,4,3,0
"protect",0,0,1,3,0
"regul",0,0,2,7,0
"revok",0,0,1,1,0
"strong",0,0,1,1,0
"term",0,0,1,1,1
"water",0,0,1,1,0
"generat",0,0,0,1,1
"intern",0,0,0,1,1
"relat",0,0,0,1,1
"setback",0,0,0,1,1
"sign",0,0,0,2,2
"start",0,0,0,2,2
"stop",0,0,0,2,1
